Book_Title,Author_Name,Author_Url,Description,Rating,Rating_Counts,Reviews_Counts,Num_Pages,Book_Format,Time_publish,Publisher,ISBN,Language,Genres,Book_Url,Book_ID
Lost Children Archive,Valeria Luiselli,https://www.goodreads.com/author/show/4405738.Valeria_Luiselli,"From the two-time NBCC Finalist, an emotionally resonant, fiercely imaginative new novel about a family whose road trip across America collides with an immigration crisis at the southwestern border--an indelible journey told with breathtaking imagery, spare lyricism, and profound humanity.A mother and father set out with their two children, a boy and a girl, driving from New York to Arizona in the heat of summer. Their destination: Apacheria, the place the Apaches once called home.Why Apaches? asks the ten-year-old son. Because they were the last of something, answers his father.In their car, they play games and sing along to music. But on the radio, there is news about an ""immigration crisis"": thousands of kids trying to cross the southwestern border into the United States, but getting detained--or lost in the desert along the way.As the family drives--through Virginia to Tennessee, across Oklahoma and Texas--we sense they are on the brink of a crisis of their own. A fissure is growing between the parents, one the children can almost feel beneath their feet. They are led, inexorably, to a grand, harrowing adventure--both in the desert landscape and within the chambers of their own imaginations.Told through several compelling voices, blending texts, sounds, and images, Lost Children Archive is an astonishing feat of literary virtuosity. It is a richly engaging story of how we document our experiences, and how we remember the things that matter to us the most. With urgency and empathy, it takes us deep into the lives of one remarkable family as it probes the nature of justice and equality today.",3.85,13587.0,2380.0,385.0,Hardcover,February 12th 2019,Knopf Publishing Group,0525520619,English,"{""Fiction"": 611.0, ""Contemporary"": 109.0, ""Literary Fiction"": 108.0, ""Audiobook"": 44.0, ""Novels"": 38.0, ""Travel"": 33.0, ""Family"": 30.0, ""Literature"": 30.0, ""Adult Fiction"": 28.0, ""Adult"": 25.0}",https://www.goodreads.com/book/show/40245130-lost-children-archive,719
Wishful Drinking,Carrie Fisher,https://www.goodreads.com/author/show/90150.Carrie_Fisher,"In Wishful Drinking, Carrie Fisher tells the true and intoxicating story of her life with inimitable wit. Born to celebrity parents, she was picked to play a princess in a little movie called Star Wars when only 19 years old. ""But it isn't all sweetness and light sabres."" Alas, aside from a demanding career and her role as a single mother (not to mention the hyperspace hairdo), Carrie also spends her free time battling addiction, weathering the wild ride of manic depression and lounging around various mental institutions. It's an incredible tale—from having Elizabeth Taylor as a stepmother, to marrying (and divorcing) Paul Simon, from having the father of her daughter leave her for a man, to ultimately waking up one morning and finding a friend dead beside her in bed.",3.8,66291.0,7052.0,163.0,Hardcover,December 2nd 2008,Simon & Schuster,1439102252,English,"{""Nonfiction"": 2122.0, ""Autobiography"": 1369.0, ""Biography"": 301.0, ""Humor"": 124.0, ""Audiobook"": 547.0, ""Biography Memoir"": 217.0, ""Health"": 153.0, ""Mental Health"": 116.0}",https://www.goodreads.com/book/show/4961048-wishful-drinking,720
She Said: Breaking the Sexual Harassment Story That Helped Ignite a Movement,Jodi Kantor,https://www.goodreads.com/author/show/325181.Jodi_Kantor,"From the Pulitzer-prize winning reporters who broke the news of Harvey Weinstein's sexual harassment and abuse for the New York Times, Jodi Kantor and Megan Twohey, the thrilling untold story of their investigation and its consequences for the #MeToo movement.On October 5, 2017, the New York Times published an article by Jodi Kantor and Megan Twohey--and then the world changed. For months Kantor and Twohey had been having confidential discussions with top actresses, former Weinstein employees and other sources, learning of disturbing long-buried allegations, some of which had been covered up by onerous legal settlements. The journalists meticulously picked their way through a web of decades-old secret payouts and nondisclosure agreements, pressed some of the most famous women in the world--and some unknown ones--to risk going on the record, and faced down Weinstein, his team of high-priced defenders, and even his private investigators. But nothing could have prepared them for what followed the publication of their Weinstein story. Within days, a veritable Pandora's Box of sexual harassment and abuse was opened, and women who had suffered in silence for generations began coming forward, trusting that the world would understand their stories. Over the next twelve months, hundreds of men from every walk of life and industry would be outed for mistreating their colleagues. But did too much change--or not enough? Those questions plunged the two journalists into a new phase of reporting and some of their most startling findings yet. With superlative detail, insight, and journalistic expertise, Kantor and Twohey take us for the first time into the very heart of this social shift, reliving in real-time what it took to get the story and giving an up-close portrait of the forces that hindered and spurred change. They describe the surprising journeys of those who spoke up--for the sake of other women, for future generations, and for themselves--and so changed us all.",4.38,23716.0,2633.0,310.0,Hardcover,September 10th 2019,Penguin Press,0525560343,English,"{""Nonfiction"": 1252.0, ""Feminism"": 455.0, ""Audiobook"": 166.0, ""Politics"": 149.0, ""Crime"": 149.0, ""Writing"": 109.0, ""Womens"": 67.0, ""Social Movements"": 62.0, ""History"": 58.0, ""Mystery"": 56.0}",https://www.goodreads.com/book/show/44767249-she-said,721
Hamnet,Maggie O'Farrell,https://www.goodreads.com/author/show/91236.Maggie_O_Farrell,"A New York Times Notable Book (2020)Best Book of 2020: Guardian, Financial Times, Literary Hub, and NPRA thrilling departure: A short, piercing, deeply moving new novel from the acclaimed author of I Am, I Am, I Am, about the death of Shakespeare's eleven-year-old son Hamnet--a name interchangeable with Hamlet in fifteenth-century Britain--and the years leading up to the production of his great play.England, 1580. A young Latin tutor--penniless, bullied by a violent father--falls in love with an extraordinary, eccentric young woman: a wild creature who walks her family's estate with a falcon on her shoulder and is known throughout the countryside for her unusual gifts as a healer. Agnes understands plants and potions better than she does people, but once she settles with her husband on Henley Street in Stratford she becomes a fiercely protective mother and a steadfast, centrifugal force in the life of her young husband, whose gifts as a writer are just beginning to awaken when his beloved young son succumbs to bubonic plague.A luminous portrait of a marriage, a shattering evocation of a family ravaged by grief and loss, and a hypnotic recreation of the story that inspired one of the greatest literary masterpieces of all time, Hamnet is mesmerizing and seductive, an impossible-to-put-down novel from one of our most gifted writers.",4.35,22896.0,3662.0,320.0,Hardcover,July 21st 2020,Knopf Publishing Group,0525657606,,"{""Historical"": 201.0, ""Fiction"": 664.0, ""Literary Fiction"": 135.0, ""European Literature"": 64.0, ""Adult"": 58.0, ""Audiobook"": 55.0, ""Adult Fiction"": 40.0, ""Novels"": 36.0, ""Family"": 29.0}",https://www.goodreads.com/book/show/48677123-hamnet,722
The Vanishing Half,Brit Bennett,https://www.goodreads.com/author/show/10802967.Brit_Bennett,"The Vignes twin sisters will always be identical. But after growing up together in a small, southern black community and running away at age sixteen, it's not just the shape of their daily lives that is different as adults, it's everything: their families, their communities, their racial identities. Many years later, one sister lives with her black daughter in the same southern town she once tried to escape. The other secretly passes for white, and her white husband knows nothing of her past. Still, even separated by so many miles and just as many lies, the fates of the twins remain intertwined. What will happen to the next generation, when their own daughters' storylines intersect?Weaving together multiple strands and generations of this family, from the Deep South to California, from the 1950s to the 1990s, Brit Bennett produces a story that is at once a riveting, emotional family story and a brilliant exploration of the American history of passing. Looking well beyond issues of race, The Vanishing Half considers the lasting influence of the past as it shapes a person's decisions, desires, and expectations, and explores some of the multiple reasons and realms in which people sometimes feel pulled to live as something other than their origins.",4.28,177785.0,17189.0,350.0,Kindle Edition,June 2nd 2020,Riverhead Books,,English,"{""Fiction"": 2875.0, ""Historical"": 270.0, ""Contemporary"": 507.0, ""Literary Fiction"": 447.0, ""Audiobook"": 379.0, ""Adult"": 335.0, ""Race"": 334.0, ""Adult Fiction"": 226.0, ""Novels"": 162.0}",https://www.goodreads.com/book/show/52195151-the-vanishing-half,723
The Last Romantics,Tara Conklin,https://www.goodreads.com/author/show/6454131.Tara_Conklin,"“The greatest works of poetry are the stories we tell about ourselves.""When the renowned poet Fiona Skinner is asked about the inspiration behind her iconic work, The Love Poem, she tells her audience a story about her family and a betrayal that reverberates through time.It begins in a big yellow house, with a funeral, an iron poker, and a brief variation forever known as the Pause: a free and feral summer in a middle-class Connecticut town. Caught between the predictable life they once led and an uncertain future that stretches before them, the Skinner siblings—fierce Renee, sensitive Caroline, golden-boy Joe and watchful Fiona—emerge from the Pause staunchly loyal and deeply connected.  Two decades later, the siblings find themselves once again confronted with a family crisis that tests the strength of these bonds and forces them to question the life choices they’ve made and to ask what, exactly, they are willing to do for love. A sweeping yet intimate epic about one American family, The Last Romantics is an unforgettable exploration of the ties that bind us together, the responsibilities we embrace and the duties we resent, and how we can lose—and sometimes rescue—the ones we love. A novel that pierces the heart and lingers in the mind, it is also a beautiful meditation on the power of stories—how they guide us through difficult times, help us understand the past, and point the way toward our future.",3.74,33358.0,3846.0,354.0,Hardcover,February 5th 2019,William Morrow,0062358200,English,"{""Fiction"": 641.0, ""Contemporary"": 155.0, ""Audiobook"": 86.0, ""Literary Fiction"": 67.0, ""Family"": 56.0, ""Adult Fiction"": 50.0, ""Adult"": 44.0, ""Romance"": 35.0, ""Novels"": 24.0, ""Book Club"": 18.0}",https://www.goodreads.com/book/show/40390714-the-last-romantics,724
The Last Romantics,Tara Conklin,https://www.goodreads.com/author/show/6454131.Tara_Conklin,"“The greatest works of poetry are the stories we tell about ourselves.""When the renowned poet Fiona Skinner is asked about the inspiration behind her iconic work, The Love Poem, she tells her audience a story about her family and a betrayal that reverberates through time.It begins in a big yellow house, with a funeral, an iron poker, and a brief variation forever known as the Pause: a free and feral summer in a middle-class Connecticut town. Caught between the predictable life they once led and an uncertain future that stretches before them, the Skinner siblings—fierce Renee, sensitive Caroline, golden-boy Joe and watchful Fiona—emerge from the Pause staunchly loyal and deeply connected.  Two decades later, the siblings find themselves once again confronted with a family crisis that tests the strength of these bonds and forces them to question the life choices they’ve made and to ask what, exactly, they are willing to do for love. A sweeping yet intimate epic about one American family, The Last Romantics is an unforgettable exploration of the ties that bind us together, the responsibilities we embrace and the duties we resent, and how we can lose—and sometimes rescue—the ones we love. A novel that pierces the heart and lingers in the mind, it is also a beautiful meditation on the power of stories—how they guide us through difficult times, help us understand the past, and point the way toward our future.",3.74,33358.0,3846.0,384.0,ebook,February 5th 2019,William Morrow,0062358227,English,"{""Fiction"": 641.0, ""Contemporary"": 155.0, ""Audiobook"": 86.0, ""Literary Fiction"": 67.0, ""Family"": 56.0, ""Adult Fiction"": 50.0, ""Adult"": 44.0, ""Romance"": 35.0, ""Novels"": 24.0, ""Book Club"": 18.0}",https://www.goodreads.com/book/show/35068465-the-last-romantics,725
The Silent Patient,Alex Michaelides,https://www.goodreads.com/author/show/17621440.Alex_Michaelides,"Only she knows what happened.Only I can make her speak.
I love him so totally, completely, 
sometimes it threatens to overwhelm me. 

Sometimes I think-


No. I won't write about that.
ALICIAAlicia Berenson writes a diary as a release, an outlet - and to prove to her beloved husband that everything is fine. She can't bear the thought of worrying Gabriel, or causing him pain.Until, late one evening, Alicia shoots Gabriel five times and then never speaks another word.THEOForensic psychotherapist Theo Faber is convinced he can successfully treat Alicia, where all others have failed. Obsessed with investigating her crime, his discoveries suggest Alicia's silence goes far deeper than he first thought.And if she speaks, would he want to hear the truth?",4.09,556971.0,54790.0,352.0,Kindle Edition,February 7th 2019,Orion,1250301696,English,"{""Mystery"": 597.0, ""Thriller"": 491.0, ""Fiction"": 3262.0, ""Audiobook"": 908.0, ""Suspense"": 714.0, ""Adult"": 539.0, ""Contemporary"": 374.0}",https://www.goodreads.com/book/show/41601079-the-silent-patient,726
The Red Lotus,Chris Bohjalian,https://www.goodreads.com/author/show/3509.Chris_Bohjalian,"11 hours From the #1 New York Times bestselling author of Midwives and The Flight Attendant comes a twisting story of love and deceit: an American man vanishes on a rural road in Vietnam, and his girlfriend, an emergency room doctor trained to ask questions, follows a path that leads her home to the very hospital where they met.The first time Alexis saw Austin, it was a Saturday night. Not in a bar, but in the emergency room where Alexis sutured a bullet wound in Austin's arm. Six months later, on the brink of falling in love, they travel to Vietnam on a bike tour so that Austin can show her his passion for cycling and he can pay his respects to the place where his father and uncle fought in the war. But as Alexis sips white wine and waits at the hotel for him to return from his solo ride, two men emerge from the tall grass and Austin vanishes into thin air. The only clue he leaves behind is a bright yellow energy gel dropped on the road. As Alexis grapples with this bewildering loss, and deals with the FBI, Austin's prickly family, and her colleagues at the hospital, Alexis uncovers a series of strange lies that force her to wonder: Where did Austin go? Why did he really bring her to Vietnam? And how much danger has he left her in? Set amidst the adrenaline-fueled world of the emergency room, The Red Lotus is a global thriller about those who dedicate their lives to saving people, and those who peddle death to the highest bidder.",3.74,11155.0,1900.0,400.0,Kindle Edition,March 17th 2020,Doubleday,0385544804,English,"{""Fiction"": 184.0, ""Mystery"": 24.0, ""Thriller"": 49.0, ""Audiobook"": 46.0, ""Suspense"": 35.0, ""Adult Fiction"": 21.0, ""Contemporary"": 20.0, ""Adult"": 19.0}",https://www.goodreads.com/book/show/50021368-the-red-lotus,727
Shuggie Bain,Douglas Stuart,https://www.goodreads.com/author/show/20681825.Douglas_Stuart,"Shuggie Bain is the unforgettable story of young Hugh ""Shuggie"" Bain, a sweet and lonely boy who spends his 1980s childhood in run-down public housing in Glasgow, Scotland. Thatcher's policies have put husbands and sons out of work, and the city's notorious drugs epidemic is waiting in the wings. Shuggie's mother Agnes walks a wayward path: she is Shuggie's guiding light but a burden for him and his siblings. She dreams of a house with its own front door while she flicks through the pages of the Freemans catalogue, ordering a little happiness on credit, anything to brighten up her grey life. Married to a philandering taxi-driver husband, Agnes keeps her pride by looking good--her beehive, make-up, and pearly-white false teeth offer a glamourous image of a Glaswegian Elizabeth Taylor. But under the surface, Agnes finds increasing solace in drink, and she drains away the lion's share of each week's benefits--all the family has to live on--on cans of extra-strong lager hidden in handbags and poured into tea mugs. Agnes's older children find their own ways to get a safe distance from their mother, abandoning Shuggie to care for her as she swings between alcoholic binges and sobriety. Shuggie is meanwhile struggling to somehow become the normal boy he desperately longs to be, but everyone has realized that he is ""no right,"" a boy with a secret that all but him can see. Agnes is supportive of her son, but her addiction has the power to eclipse everyone close to her--even her beloved Shuggie.A heartbreaking story of addiction, sexuality, and love, Shuggie Bain is an epic portrayal of a working-class family that is rarely seen in fiction. Recalling the work of Edouard Louis, Alan Hollinghurst, Frank McCourt, and Hanya Yanagihara, it is a blistering debut by a brilliant novelist who has a powerful and important story to tell.",4.43,11342.0,1770.0,430.0,Hardcover,February 11th 2020,Grove Press,0802148042,English,"{""Fiction"": 437.0, ""Historical"": 34.0, ""Cultural"": 96.0, ""Literary Fiction"": 85.0, ""LGBT"": 62.0, ""Contemporary"": 42.0, ""Novels"": 38.0, ""Audiobook"": 36.0, ""Family"": 26.0}",https://www.goodreads.com/book/show/52741293-shuggie-bain,728
Daughter of Moloka'i,Alan Brennert,https://www.goodreads.com/author/show/2226.Alan_Brennert,"This companion tale to Moloka'i tells the story of Ruth, the daughter that Rachel Kalama—quarantined for most of her life at the isolated leprosy settlement of Kalaupapa—was forced to give up at birth.The book follows young Ruth from her arrival at the Kapi'olani Home for Girls in Honolulu, to her adoption by a Japanese couple who raise her on a strawberry and grape farm in California, her marriage and unjust internment at Manzanar Relocation Camp during World War II—and then, after the war, to the life-altering day when she receives a letter from a woman who says she is Ruth’s birth mother, Rachel.",4.06,9783.0,1501.0,309.0,ebook,February 19th 2019,St. Martin's Press,1250137683,English,"{""Historical"": 42.0, ""Fiction"": 144.0, ""War"": 11.0, ""Adult Fiction"": 13.0, ""Audiobook"": 10.0, ""Adult"": 10.0, ""Family"": 9.0, ""Novels"": 8.0}",https://www.goodreads.com/book/show/32854324-daughter-of-moloka-i,729
The Color of Air,Gail Tsukiyama,https://www.goodreads.com/author/show/28719.Gail_Tsukiyama,"From the New York Times bestselling author of Women of the Silk and The Samurai's Garden comes a gorgeous and evocative historical novel about a Japanese-American family set against the backdrop of Hawai’i's sugar plantations.Daniel Abe, a young doctor in Chicago, is finally coming back to Hawai'i. He has his own reason for returning to his childhood home, but it is not to revisit the past, unlike his Uncle Koji. Koji lives with the memories of Daniel’s mother, Mariko, the love of his life, and the scars of a life hard-lived. He can’t wait to see Daniel, who he’s always thought of as a son, but he knows the time has come to tell him the truth about his mother, and his father. But Daniel’s arrival coincides with the awakening of the Mauna Loa volcano, and its dangerous path toward their village stirs both new and long ago passions in their community.Alternating between past and present—from the day of the volcano eruption in 1935 to decades prior—The Color of Air interweaves the stories of Daniel, Koji, and Mariko to create a rich, vibrant, bittersweet chorus that celebrates their lifelong bond to one other and to their immigrant community. As Mauna Loa threatens their lives and livelihoods, it also unearths long held secrets simmering below the surface that meld past and present, revealing a path forward for them all.",3.78,1272.0,267.0,304.0,Hardcover,July 7th 2020,HarperVia,0062976192,,"{""Historical"": 9.0, ""Fiction"": 60.0, ""Literary Fiction"": 11.0, ""Literature"": 8.0, ""Cultural"": 6.0, ""Adult"": 6.0, ""Audiobook"": 5.0, ""Adult Fiction"": 5.0, ""Environment"": 5.0}",https://www.goodreads.com/book/show/52585218-the-color-of-air,730
Real Life,Brandon  Taylor,https://www.goodreads.com/author/show/19531469.Brandon_Taylor,"Almost everything about Wallace is at odds with the Midwestern university town where he is working uneasily toward a biochem degree. An introverted young man from Alabama, black and queer, he has left behind his family without escaping the long shadows of his childhood. For reasons of self-preservation, Wallace has enforced a wary distance even within his own circle of friends.s. ut over the course of a late-summer weekend, a series of confrontations with colleagues, and an unexpected encounter with an ostensibly straight, white classmate, conspire to fracture his defenses while exposing long-hidden currents of hostility and desire within their community.",3.92,10950.0,1792.0,329.0,Hardcover,February 18th 2020,Riverhead Books,0525538887,English,"{""Fiction"": 678.0, ""LGBT"": 259.0, ""Contemporary"": 233.0, ""GLBT"": 134.0, ""Literary Fiction"": 132.0, ""Race"": 78.0, ""Adult"": 58.0, ""Novels"": 52.0, ""Audiobook"": 50.0, ""Adult Fiction"": 46.0}",https://www.goodreads.com/book/show/46263943-real-life,731
Open Book,Jessica Simpson,https://www.goodreads.com/author/show/55681.Jessica_Simpson,"Jessica tells of growing up in 1980s Texas where she was sexually abused by the daughter of a family friend, and of unsuccessfully auditioning for the Mickey Mouse Club at age 13 with Justin Timberlake and Ryan Gosling before going on to sign a record deal with Columbia and marrying 98 Degrees member Nick Lachey. Along the way, she details the struggles in her life, such as the pressure to support her family as a teenager, divorcing Lachey, enduring what she describes as an emotionally abusive relationship with musician John Mayer, being body-shamed in an overly appearance-centered industry, and going through bouts of heavy drinking. But Simpson ends on a positive note, discussing her billion-dollar apparel line and marriage with professional football star Eric Johnson, with whom she has three children.",4.13,48440.0,5326.0,416.0,Hardcover,February 4th 2020,Dey Street Books,0062899961,English,"{""Nonfiction"": 448.0, ""Autobiography"": 439.0, ""Audiobook"": 354.0, ""Biography"": 79.0, ""Biography Memoir"": 60.0, ""Music"": 55.0, ""Adult"": 28.0, ""Culture"": 20.0, ""Womens"": 10.0}",https://www.goodreads.com/book/show/41571753-open-book,732
The Girl with the Louding Voice,Abi Daré,https://www.goodreads.com/author/show/19300129.Abi_Dar_,"A powerful, emotional debut novel told in the unforgettable voice of a young Nigerian woman who is trapped in a life of servitude but determined to fight for her dreams and choose her own future. Adunni is a fourteen-year-old Nigerian girl who knows what she wants: an education. This, her mother has told her, is the only way to get a “louding voice”—the ability to speak for herself and decide her own future. But instead, Adunni's father sells her to be the third wife of a local man who is eager for her to bear him a son and heir.When Adunni runs away to the city, hoping to make a better life, she finds that the only other option before her is servitude to a wealthy family. As a yielding daughter, a subservient wife, and a powerless slave, Adunni is told, by words and deeds, that she is nothing.But while misfortunes might muffle her voice for a time, they cannot mute it. And when she realizes that she must stand up not only for herself, but for other girls, for the ones who came before her and were lost, and for the next girls, who will inevitably follow; she finds the resolve to speak, however she can—in a whisper, in song, in broken English—until she is heard.",4.48,37711.0,5000.0,384.0,Hardcover,February 4th 2020,Dutton Books,1524746029,,"{""Fiction"": 864.0, ""Contemporary"": 253.0, ""Cultural"": 213.0, ""Feminism"": 111.0, ""Literary Fiction"": 91.0, ""Audiobook"": 76.0, ""Adult"": 73.0, ""Adult Fiction"": 65.0, ""Western Africa"": 61.0, ""Young Adult"": 54.0}",https://www.goodreads.com/book/show/50214741-the-girl-with-the-louding-voice,733
A Burning,Megha Majumdar,https://www.goodreads.com/author/show/19250455.Megha_Majumdar,"For readers of Tommy Orange, Yaa Gyasi, and Jhumpa Lahiri, an electrifying debut novel about three unforgettable characters who seek to rise—to the middle class, to political power, to fame in the movies—and find their lives entangled in the wake of a catastrophe in contemporary India.Jivan is a Muslim girl from the slums, determined to move up in life, who is accused of executing a terrorist attack on a train because of a careless comment on Facebook. PT Sir is an opportunistic gym teacher who hitches his aspirations to a right-wing political party, and finds that his own ascent becomes linked to Jivan's fall. Lovely--an irresistible outcast whose exuberant voice and dreams of glory fill the novel with warmth and hope and humor--has the alibi that can set Jivan free, but it will cost her everything she holds dear.Taut, symphonic, propulsive, and riveting from its opening lines, A Burning has the force of an epic while being so masterfully compressed it can be read in a single sitting. Majumdar writes with dazzling assurance at a breakneck pace on complex themes that read here as the components of a thriller: class, fate, corruption, justice, and what it feels like to face profound obstacles and yet nurture big dreams in a country spinning toward extremism. An extraordinary debut.",3.75,21054.0,2937.0,304.0,Hardcover,June 2nd 2020,Knopf Publishing Group,0525658696,,"{""Fiction"": 787.0, ""Contemporary"": 203.0, ""Cultural"": 42.0, ""Literary Fiction"": 120.0, ""Audiobook"": 68.0, ""Adult Fiction"": 52.0, ""Adult"": 52.0, ""Novels"": 46.0, ""LGBT"": 44.0}",https://www.goodreads.com/book/show/51792100-a-burning,734
Darling Rose Gold,Stephanie Wrobel,https://www.goodreads.com/author/show/18965988.Stephanie_Wrobel,"For the first eighteen years of her life, Rose Gold Watts believed she was seriously ill. She was allergic to everything, used a wheelchair and practically lived at the hospital. Neighbors did all they could, holding fundraisers but no matter how many doctors, tests, or surgeries, no one could figure out what was wrong with Rose Gold.Turns out her mom, Patty Watts, was just a really good liar.After serving five years in prison, Patty begs her daughter to take her in. The entire community is shocked when Rose Gold says yes. And Rose Gold is no longer her weak little darling...And she's waited such a long time for her mother to come home.",3.71,17979.0,3505.0,320.0,Hardcover,March 17th 2020,Berkley,0593100069,English,"{""Thriller"": 43.0, ""Fiction"": 291.0, ""Mystery"": 189.0, ""Adult"": 83.0, ""Contemporary"": 74.0, ""Suspense"": 71.0, ""Audiobook"": 63.0, ""Adult Fiction"": 49.0}",https://www.goodreads.com/book/show/49223060-darling-rose-gold,735
The Dutch House,Ann Patchett,https://www.goodreads.com/author/show/7136914.Ann_Patchett,"At the end of the Second World War, Cyril Conroy combines luck and a single canny investment to begin an enormous real estate empire, propelling his family from poverty to enormous wealth. His first order of business is to buy the Dutch House, a lavish estate in the suburbs outside of Philadelphia. Meant as a surprise for his wife, the house sets in motion the undoing of everyone he loves.The story is told by Cyril’s son Danny, as he and his older sister, the brilliantly acerbic and self-assured Maeve, are exiled from the house where they grew up by their stepmother. The two wealthy siblings are thrown back into the poverty their parents had escaped from and find that all they have to count on is one another. It is this unshakable bond between them that both saves their lives and thwarts their futures.Set over the course of five decades, The Dutch House is a dark fairy tale about two smart people who cannot overcome their past. Despite every outward sign of success, Danny and Maeve are only truly comfortable when they’re together. Throughout their lives, they return to the well-worn story of what they’ve lost with humor and rage. But when at last they’re forced to confront the people who left them behind, the relationship between an indulged brother and his ever-protective sister is finally tested.",4.12,229040.0,23468.0,337.0,Hardcover,September 24th 2019,Harper,0062963678,English,"{""Fiction"": 2828.0, ""Historical"": 202.0, ""Audiobook"": 892.0, ""Literary Fiction"": 357.0, ""Adult"": 217.0, ""Adult Fiction"": 202.0, ""Contemporary"": 192.0, ""Family"": 179.0, ""Book Club"": 174.0}",https://www.goodreads.com/book/show/44318414-the-dutch-house,736
The Night Watchman,Louise Erdrich,https://www.goodreads.com/author/show/9388.Louise_Erdrich,"Based on the extraordinary life of National Book Award-winning author Louise Erdrich’s  grandfather who worked as a night watchman and carried the fight against Native dispossession from rural North Dakota all the way to Washington, D.C., this powerful novel explores themes of love and death with lightness and gravity and unfolds with the elegant prose, sly humor, and depth of feeling of a master craftsman.Thomas Wazhashk is the night watchman at the jewel bearing plant, the first factory located near the Turtle Mountain Reservation in rural North Dakota. He is also a Chippewa Council member who is trying to understand the consequences of a new “emancipation” bill on its way to the floor of the United States Congress. It is 1953 and he and the other council members know the bill isn’t about freedom; Congress is fed up with Indians. The bill is a “termination” that threatens the rights of Native Americans to their land and their very identity. How can the government abandon treaties made in good faith with Native Americans “for as long as the grasses shall grow, and the rivers run”?Since graduating high school, Pixie Paranteau has insisted that everyone call her Patrice. Unlike most of the girls on the reservation, Patrice, the class valedictorian, has no desire to wear herself down with a husband and kids. She makes jewel bearings at the plant, a job that barely pays her enough to support her mother and brother. Patrice’s shameful alcoholic father returns home sporadically to terrorize his wife and children and bully her for money. But Patrice needs every penny to follow her beloved older sister, Vera, who moved to the big city of Minneapolis. Vera may have disappeared; she hasn’t been in touch in months, and is rumored to have had a baby. Determined to find Vera and her child, Patrice makes a fateful trip to Minnesota that introduces her to unexpected forms of exploitation and violence, and endangers her life.Thomas and Patrice live in this impoverished reservation community along with young Chippewa boxer Wood Mountain and his mother Juggie Blue, her niece and Patrice’s best friend Valentine, and Stack Barnes, the white high school math teacher and boxing coach who is hopelessly in love with Patrice.In the Night Watchman, Louise Erdrich creates a fictional world populated with memorable characters who are forced to grapple with the worst and best impulses of human nature. Illuminating the loves and lives, the desires and ambitions of these characters with compassion, wit, and intelligence, The Night Watchman is a majestic work of fiction from this revered cultural treasure.",4.15,13781.0,1928.0,464.0,ebook,March 3rd 2020,HarperCollins,0062671200,,"{""Historical"": 68.0, ""Fiction"": 493.0, ""Literary Fiction"": 72.0, ""Adult"": 44.0, ""Audiobook"": 38.0, ""Adult Fiction"": 37.0, ""Novels"": 32.0, ""Native Americans"": 21.0, ""Literature"": 17.0}",https://www.goodreads.com/book/show/43721059-the-night-watchman,737
How to Be an Antiracist,Ibram X. Kendi,https://www.goodreads.com/author/show/14161726.Ibram_X_Kendi,"Ibram X. Kendi's concept of antiracism reenergizes and reshapes the conversation about racial justice in America--but even more fundamentally, points us toward liberating new ways of thinking about ourselves and each other. In How to be an Antiracist, Kendi asks us to think about what an antiracist society might look like, and how we can play an active role in building it. In this book, Kendi weaves together an electrifying combination of ethics, history, law, and science, bringing it all together with an engaging personal narrative of his own awakening to antiracism. How to Be an Antiracist is an essential work for anyone who wants to go beyond an awareness of racism to the next step: contributing to the formation of a truly just and equitable society.",4.4,68975.0,8202.0,305.0,Hardcover,August 13th 2019,One World,0525509283,English,"{""Nonfiction"": 3215.0, ""Race"": 661.0, ""Social Movements"": 619.0, ""Politics"": 520.0, ""Audiobook"": 447.0, ""History"": 380.0, ""Autobiography"": 266.0, ""Sociology"": 188.0, ""Cultural"": 134.0}",https://www.goodreads.com/book/show/40265832-how-to-be-an-antiracist,738
The Henna Artist,Alka Joshi,https://www.goodreads.com/author/show/18257842.Alka_Joshi,"Vivid and compelling in its portrait of one woman’s struggle for fulfillment in a society pivoting between the traditional and the modern, The Henna Artist opens a door into a world that is at once lush and fascinating, stark and cruel.Escaping from an abusive marriage, seventeen-year-old Lakshmi makes her way alone to the vibrant 1950s pink city of Jaipur. There she becomes the most highly requested henna artist—and confidante—to the wealthy women of the upper class. But trusted with the secrets of the wealthy, she can never reveal her own…Known for her original designs and sage advice, Lakshmi must tread carefully to avoid the jealous gossips who could ruin her reputation and her livelihood. As she pursues her dream of an independent life, she is startled one day when she is confronted by her husband, who has tracked her down these many years later with a high-spirited young girl in tow—a sister Lakshmi never knew she had. Suddenly the caution that she has carefully cultivated as protection is threatened. Still she perseveres, applying her talents and lifting up those that surround her as she does",4.25,44707.0,4614.0,342.0,Hardcover,March 3rd 2020,Mira,0778309452,English,"{""Historical"": 130.0, ""Fiction"": 540.0, ""Cultural"": 35.0, ""Audiobook"": 174.0, ""Adult"": 79.0, ""Adult Fiction"": 51.0, ""Book Club"": 45.0}",https://www.goodreads.com/book/show/41014401-the-henna-artist,739
